x,fidesz_y,tisza_y
1.440000000000000000e+02,3.317884243547304800e-10,3.853519674208712770e-06
1.450000000000000000e+02,1.793783907964079361e-10,2.494247129005353618e-06
1.460000000000000000e+02,9.601433370312336029e-11,1.598374110690547758e-06
1.470000000000000000e+02,5.088140281645039132e-11,1.014085206548676044e-06
1.480000000000000000e+02,2.669556614762851854e-11,6.369825178867090312e-07
1.490000000000000000e+02,1.386679994165317148e-11,3.961299091032075516e-07
1.500000000000000000e+02,7.131328123996076372e-12,2.438960745893351964e-07
1.510000000000000000e+02,3.630961501791801007e-12,1.486719514734297996e-07
1.520000000000000000e+02,1.830332217015571292e-12,8.972435162383337915e-08
1.530000000000000000e+02,9.134720408364595661e-13,5.361035344697614793e-08
1.540000000000000000e+02,4.513543677205518041e-13,3.171349216715976060e-08
1.550000000000000000e+02,2.207989963137139344e-13,1.857361844555289808e-08
1.560000000000000000e+02,1.069383787154164009e-13,1.076976004254327641e-08
1.570000000000000000e+02,5.127753636796662942e-14,6.182620500165857624e-09
1.580000000000000000e+02,2.434320533029010109e-14,3.513955094820433875e-09
1.590000000000000000e+02,1.144156490180136900e-14,1.977319640624467597e-09
1.600000000000000000e+02,5.324148372252943203e-15,1.101576362468230798e-09
1.610000000000000000e+02,2.452855285696432287e-15,6.075882849823286087e-10
1.620000000000000000e+02,1.118795621435181701e-15,3.317884243547304800e-10
1.630000000000000000e+02,5.052271083536892535e-16,1.793783907964079361e-10
1.640000000000000000e+02,2.258809403154303348e-16,9.601433370312336029e-11
1.650000000000000000e+02,9.998378748497178858e-17,5.088140281645039132e-11
1.660000000000000000e+02,4.381639435509326607e-17,2.669556614762851854e-11
1.670000000000000000e+02,1.901081537907963634e-17,1.386679994165317148e-11
1.680000000000000000e+02,8.166235631669551118e-18,7.131328123996076372e-12
1.690000000000000000e+02,3.472962748566208340e-18,3.630961501791801007e-12
1.700000000000000000e+02,1.462296357500658239e-18,1.830332217015571292e-12
1.710000000000000000e+02,6.095758129562418046e-19,9.134720408364595661e-13
1.720000000000000000e+02,2.515805776951404723e-19,4.513543677205518041e-13
1.730000000000000000e+02,1.027977357166891700e-19,2.207989963137139344e-13
1.740000000000000000e+02,4.158598979115160189e-20,1.069383787154164009e-13
1.750000000000000000e+02,1.665588032379928859e-20,5.127753636796662942e-14
1.760000000000000000e+02,6.604579860739309386e-21,2.434320533029010109e-14
1.770000000000000000e+02,2.592864701100370926e-21,1.144156490180136900e-14
1.780000000000000000e+02,1.007793539430001137e-21,5.324148372252943203e-15
1.790000000000000000e+02,3.878111931746960865e-22,2.452855285696432287e-15
1.800000000000000000e+02,1.477495492704264937e-22,1.118795621435181701e-15
1.810000000000000000e+02,5.573000022720691680e-23,5.052271083536892535e-16
1.820000000000000000e+02,2.081176820202824489e-23,2.258809403154303348e-16
1.830000000000000000e+02,7.694598626706419350e-24,9.998378748497178858e-17
